country,date,source,generation_gwh
United States,2023-03-01,Oil,10540.476
United States,2023-03-01,Other,95136.798
United States,2023-03-01,Solar,158460.546
United States,2023-03-01,Wind,651228.669
United States,2023-04-01,Coal,631324.368
United States,2023-04-01,Gas,1651915.864
United States,2023-04-01,Hydro,298732.038
United States,2023-04-01,Nuclear,827647.437
United States,2023-04-01,Oil,7858.332
United States,2023-04-01,Other,99712.101
United States,2023-04-01,Solar,196186.891
United States,2023-04-01,Wind,637790.595
United States,2023-05-01,Coal,678770.843
United States,2023-05-01,Gas,1904449.185
United States,2023-05-01,Hydro,419211.702
United States,2023-05-01,Nuclear,925369.446
United States,2023-05-01,Oil,9385.542
United States,2023-05-01,Other,91359.509
United States,2023-05-01,Solar,224280.333
United States,2023-05-01,Wind,481135.95
United States,2023-06-01,Coal,885939.926
United States,2023-06-01,Gas,2255912.423
United States,2023-06-01,Hydro,333398.808
United States,2023-06-01,Nuclear,978818.151
United States,2023-06-01,Oil,11716.059
United States,2023-06-01,Other,103530.936
United States,2023-06-01,Solar,240176.312
United States,2023-06-01,Wind,413440.632
United States,2023-07-01,Coal,1204060.76
United States,2023-07-01,Gas,2795054.422
United States,2023-07-01,Hydro,343700.86
United States,2023-07-01,Nuclear,1052907.918
United States,2023-07-01,Oil,8926.476
United States,2023-07-01,Other,126307.144
United States,2023-07-01,Solar,256332.652
United States,2023-07-01,Wind,419356.503
United States,2023-08-01,Coal,1197026.516
United States,2023-08-01,Gas,2787997.923
United States,2023-08-01,Hydro,336260.127
United States,2023-08-01,Nuclear,1050535.353
United States,2023-08-01,Oil,7229.16
United States,2023-08-01,Other,127329.025
United States,2023-08-01,Solar,244690.881
United States,2023-08-01,Wind,413780.595
United States,2023-09-01,Coal,919799.589
United States,2023-09-01,Gas,2295170.45
United States,2023-09-01,Hydro,264610.257
United States,2023-09-01,Nuclear,985154.904
United States,2023-09-01,Oil,5710.434
United States,2023-09-01,Other,113516.236
United States,2023-09-01,Solar,216435.839
United States,2023-09-01,Wind,422414.067
United States,2023-10-01,Coal,781711.076
United States,2023-10-01,Gas,1939461.853
United States,2023-10-01,Hydro,235379.944
United States,2023-10-01,Nuclear,923287.338
United States,2023-10-01,Oil,4449.486
United States,2023-10-01,Other,102316.195
United States,2023-10-01,Solar,193651.252
United States,2023-10-01,Wind,538406.166
United States,2023-11-01,Coal,782581.24
United States,2023-11-01,Gas,1857980.522
United States,2023-11-01,Hydro,264062.934
United States,2023-11-01,Nuclear,934776.492
United States,2023-11-01,Oil,3015.528
United States,2023-11-01,Other,94712.039
United States,2023-11-01,Solar,144431.173
United States,2023-11-01,Wind,545590.314
United States,2023-12-01,Coal,855746.142
United States,2023-12-01,Gas,2035321.033
United States,2023-12-01,Hydro,291134.64
United States,2023-12-01,Nuclear,1035992.904
United States,2023-12-01,Oil,4089.198
United States,2023-12-01,Other,98666.877
United States,2023-12-01,Solar,128644.791
United States,2023-12-01,Wind,570554.565
United States,2024-01-01,Coal,1148314.9
United States,2024-01-01,Gas,2237411.827
United States,2024-01-01,Hydro,328546.707
United States,2024-01-01,Nuclear,1041194.646
United States,2024-01-01,Oil,7359.753
United States,2024-01-01,Other,107896.7
United States,2024-01-01,Solar,133428.017
United States,2024-01-01,Wind,522602.445
United States,2024-02-01,Coal,689756.946
United States,2024-02-01,Gas,1814064.034
United States,2024-02-01,Hydro,319790.706
United States,2024-02-01,Nuclear,972569.748
United States,2024-02-01,Oil,3459.777
United States,2024-02-01,Other,65442.817
United States,2024-02-01,Solar,174468.691
United States,2024-02-01,Wind,609957.918
United States,2024-03-01,Coal,589443.624
United States,2024-03-01,Gas,1812921.214
United States,2024-03-01,Hydro,354864.534
United States,2024-03-01,Nuclear,953130.492
United States,2024-03-01,Oil,4247.304
United States,2024-03-01,Other,56400.814
United States,2024-03-01,Solar,222954.84100000001
United States,2024-03-01,Wind,696600.903
United States,2024-04-01,Coal,581205.112
United States,2024-04-01,Gas,1688598.318
United States,2024-04-01,Hydro,316319.196
United States,2024-04-01,Nuclear,867548.712
United States,2024-04-01,Oil,4388.784
United States,2024-04-01,Other,64524.646
United States,2024-04-01,Solar,270006.853
United States,2024-04-01,Wind,707383.587
United States,2024-05-01,Coal,712246.816
United States,2024-05-01,Gas,2016716.515
United States,2024-05-01,Hydro,378769.173
United States,2024-05-01,Nuclear,977072.562
United States,2024-05-01,Oil,9493.431
United States,2024-05-01,Other,72998.873
United States,2024-05-01,Solar,313218.169
United States,2024-05-01,Wind,592000.901
United States,2024-06-01,Coal,969544.464
United States,2024-06-01,Gas,2359180.483
United States,2024-06-01,Hydro,355706.25
United States,2024-06-01,Nuclear,1026646.386
United States,2024-06-01,Oil,10952.532
United States,2024-06-01,Other,81924.733
United States,2024-06-01,Solar,339957.719
United States,2024-06-01,Wind,584850.024
United States,2024-07-01,Coal,1112607.459
United States,2024-07-01,Gas,2887592.367
United States,2024-07-01,Hydro,340832.502
United States,2024-07-01,Nuclear,1050230.043
United States,2024-07-01,Oil,15070.689
United States,2024-07-01,Other,85411.231
United States,2024-07-01,Solar,334029.45
United States,2024-07-01,Wind,422764.632
United States,2024-08-01,Coal,1068237.906
United States,2024-08-01,Gas,2853254.733
United States,2024-08-01,Hydro,327892.209
United States,2024-08-01,Nuclear,1048949.109
United States,2024-08-01,Oil,9860.655
United States,2024-08-01,Other,80563.255
United States,2024-08-01,Solar,343023.226
United States,2024-08-01,Wind,441866.1
United States,2024-09-01,Coal,846113.425
United States,2024-09-01,Gas,2387957.14
United States,2024-09-01,Hydro,254804.145
United States,2024-09-01,Nuclear,941801.34
United States,2024-09-01,Oil,6511.098
United States,2024-09-01,Other,72767.994
United States,2024-09-01,Solar,288787.289
United States,2024-09-01,Wind,422085.268
United States,2024-10-01,Coal,732066.827
United States,2024-10-01,Gas,2040870.74
United States,2024-10-01,Hydro,237256.29
United States,2024-10-01,Nuclear,869169.696
United States,2024-10-01,Oil,6349.881
United States,2024-10-01,Other,85389.385
United States,2024-10-01,Solar,281887.136
United States,2024-10-01,Wind,597268.503
United States,2024-11-01,Coal,687435.24
United States,2024-11-01,Gas,1904801.095
United States,2024-11-01,Geothermal,15.276
United States,2024-11-01,Hydro,252132.816
United States,2024-11-01,Nuclear,927905.634
